DATE,PM 2.5,O3,Overall_AQI,Overall_AQI_Category
2020-09-17 03:00:00,28.9,4,86,Moderate
2020-09-17 04:00:00,27.5,4,83,Moderate
2020-09-17 05:00:00,25.5,4,79,Moderate
2020-09-17 06:00:00,21.3,6,70,Moderate
2020-09-17 07:00:00,23.6,7,75,Moderate
2020-09-17 08:00:00,24.3,12,77,Moderate
2020-09-17 09:00:00,26.6,14,81,Moderate
2020-09-17 10:00:00,26.8,20,82,Moderate
2020-09-17 11:00:00,26.9,23,82,Moderate
2020-09-17 12:00:00,28.7,30,86,Moderate
2020-09-17 13:00:00,27.8,32,84,Moderate
2020-09-17 14:00:00,26.6,33,81,Moderate
2020-09-17 15:00:00,27.6,36,84,Moderate
2020-09-17 16:00:00,27.7,31,84,Moderate
2020-09-17 17:00:00,28.7,28,86,Moderate
2020-09-17 18:00:00,29.0,25,87,Moderate
2020-09-17 19:00:00,31.5,25,92,Moderate
2020-09-17 20:00:00,35.1,21,99,Moderate
2020-09-17 21:00:00,35.0,22,99,Moderate
2020-09-17 22:00:00,35.0,19,99,Moderate
2020-09-17 23:00:00,35.8,18,102,Unhealthy for Sensitive Groups
2020-09-18 00:00:00,32.4,17,94,Moderate
2020-09-18 01:00:00,31.1,15,91,Moderate
2020-09-18 02:00:00,31.7,13,92,Moderate
2020-09-18 03:00:00,23.0,16,74,Moderate
2020-09-18 04:00:00,19.0,17,66,Moderate
2020-09-18 05:00:00,18.0,18,63,Moderate
2020-09-18 06:00:00,17.0,20,61,Moderate
2020-09-18 07:00:00,16.5,22,60,Moderate
2020-09-18 08:00:00,17.7,23,63,Moderate
2020-09-18 09:00:00,17.8,22,63,Moderate
2020-09-18 10:00:00,20.4,22,68,Moderate
2020-09-18 11:00:00,19.7,24,67,Moderate
2020-09-18 12:00:00,22.8,27,74,Moderate
2020-09-18 13:00:00,21.4,26,71,Moderate
2020-09-18 14:00:00,22.4,28,73,Moderate
2020-09-18 15:00:00,19.7,29,67,Moderate
2020-09-18 16:00:00,19.5,30,67,Moderate
2020-09-18 17:00:00,19.7,33,67,Moderate
2020-09-18 18:00:00,19.0,31,66,Moderate
2020-09-18 19:00:00,18.6,25,65,Moderate
2020-09-18 20:00:00,19.1,21,66,Moderate
2020-09-18 21:00:00,19.8,18,67,Moderate
2020-09-18 22:00:00,19.5,16,67,Moderate
2020-09-18 23:00:00,20.4,10,68,Moderate
2020-09-19 00:00:00,24.3,11,77,Moderate
2020-09-19 01:00:00,22.8,12,74,Moderate
2020-09-19 02:00:00,22.0,12,72,Moderate
2020-09-19 03:00:00,22.4,9,73,Moderate
2020-09-19 04:00:00,20.7,12,69,Moderate
2020-09-19 05:00:00,19.1,12,66,Moderate
2020-09-19 06:00:00,19.0,8,66,Moderate
2020-09-19 07:00:00,20.6,8,69,Moderate
2020-09-19 08:00:00,22.4,11,73,Moderate
2020-09-19 09:00:00,29.4,13,87,Moderate
2020-09-19 10:00:00,32.2,19,93,Moderate
2020-09-19 11:00:00,30.6,27,90,Moderate
2020-09-19 12:00:00,25.8,33,80,Moderate
2020-09-19 13:00:00,20.9,32,70,Moderate
2020-09-19 14:00:00,20.4,34,68,Moderate
2020-09-19 15:00:00,16.2,35,60,Moderate
2020-09-19 16:00:00,16.1,32,59,Moderate
2020-09-19 17:00:00,16.0,31,59,Moderate
2020-09-19 18:00:00,15.5,27,58,Moderate
2020-09-19 19:00:00,19.2,22,66,Moderate
2020-09-19 20:00:00,20.1,17,68,Moderate
2020-09-19 21:00:00,27.5,13,83,Moderate
2020-09-19 22:00:00,24.2,11,76,Moderate
2020-09-19 23:00:00,27.1,6,83,Moderate
2020-09-20 00:00:00,23.5,6,75,Moderate
2020-09-20 01:00:00,27.7,4,84,Moderate
2020-09-20 02:00:00,24.3,5,77,Moderate
2020-09-20 03:00:00,25.1,4,78,Moderate
2020-09-20 04:00:00,28.1,1,85,Moderate
2020-09-20 05:00:00,29.0,0,87,Moderate
2020-09-20 06:00:00,27.9,0,84,Moderate
2020-09-20 07:00:00,27.1,5,83,Moderate
2020-09-20 08:00:00,28.3,8,85,Moderate
2020-09-20 09:00:00,34.7,13,99,Moderate
2020-09-20 10:00:00,35.3,19,100,Moderate
2020-09-20 11:00:00,35.6,27,101,Unhealthy for Sensitive Groups
2020-09-20 12:00:00,34.8,34,99,Moderate
2020-09-20 13:00:00,27.4,33,83,Moderate
2020-09-20 14:00:00,17.7,31,63,Moderate
2020-09-20 15:00:00,11.8,33,49,Good
2020-09-20 16:00:00,15.4,34,58,Moderate
2020-09-20 17:00:00,15.7,32,59,Moderate
2020-09-20 18:00:00,15.3,27,58,Moderate
2020-09-20 19:00:00,16.6,23,60,Moderate
2020-09-20 20:00:00,22.8,18,74,Moderate
2020-09-20 21:00:00,25.4,14,79,Moderate
2020-09-20 22:00:00,22.2,10,72,Moderate
